metric,pointbiserial_r,pointbiserial_p,spearman_rho,spearman_p
api_calls,-0.16653261531951144,0.06130898737721994,-0.2565632658790307,0.0035954345108026213
n_messages,-0.1566168022064964,0.07867966724275864,-0.2554200557537171,0.003752976471100527
n_bash_calls,-0.1604349720629358,0.07157306262588116,-0.2535810156159439,0.004019444791472304
prompt_tokens,-0.2520457693399637,0.004254758060631713,-0.3569276811071899,3.803222970708672e-05
completion_tokens,-0.24109833614839637,0.006322333091917835,-0.3578464138770926,3.620024431811391e-05
runtime_sec,-0.16383614756715253,0.06568877037832871,-0.2544889772630415,0.003885835346247997
patch_churn,-0.08443265641771111,0.34527880988610427,-0.33775403036386964,0.00010299827305610517
patch_files,-0.10643297763519331,0.2336670742687987,-0.3194622383381902,0.00025125826259941246
patch_hunks,-0.12976648860612647,0.14592117576992183,-0.27802272265480404,0.001551809728839316
phase_VERIFY_PATCH_giveup,0.017374907000131667,0.8462668003788394,0.023302671227646506,0.7948278444811203
phase_VERIFY_PATCH_msgs,-0.06218883755473778,0.48732110127622846,-0.16446225829399128,0.06464973528900253
phase_CODE_FIX_msgs,-0.13381435126372748,0.13365199330335753,-0.2706365745019155,0.002088108578036273
