folder,name,peer_resolved,our_resolved,delta_resolved,both_resolved,our_only,peer_only,neither,mcnemar_p
20250329_MopenHands_Doubao-1.5-pro,MopenHands + Doubao-1.5-pro,1,41,40,0,41,1,86,1.9554136088117957e-11
20250329_MSWE-agent_Qwen2.5-72B-Instruct,MSWE-agent + Qwen2.5-72B-Instruct,3,41,38,1,40,2,85,4.1109160520136356e-10
20250329_MopenHands_Qwen2.5-72B-Instruct,MopenHands + Qwen2.5-72B-Instruct,4,41,37,2,39,2,85,7.839844329282641e-10
20250329_MopenHands_OpenAI-o1,MopenHands + OpenAI-o1,5,41,36,5,36,0,87,2.9103830456733704e-11
20250329_MagentLess_OpenAI-o3-mini-high,MagentLess + OpenAI-o3-mini-high,7,41,34,5,36,2,85,5.398760549724102e-09
20250329_MagentLess_Doubao-1.5-pro,MagentLess + Doubao-1.5-pro,7,41,34,4,37,3,84,1.946500560734421e-08
20250426_MSWE-agent_Llama-4-Maverick,MSWE-agent + Llama-4-Maverick,8,41,33,7,34,1,86,2.0954757928848267e-09
20250426_MopenHands_Llama-4-Maverick,MopenHands + Llama-4-Maverick,8,41,33,7,34,1,86,2.0954757928848267e-09
20250329_MSWE-agent_Doubao-1.5-pro,MSWE-agent + Doubao-1.5-pro,9,41,32,3,38,6,81,9.430375484953402e-07
20250329_MagentLess_DeepSeek-V3,MagentLess + DeepSeek-V3,9,41,32,6,35,3,84,6.677873898297548e-08
20250329_MopenHands_DeepSeek-R1,MopenHands + DeepSeek-R1,11,41,30,8,33,3,84,2.2721360437572002e-07
20250329_MopenHands_GPT-4o-1120,MopenHands + GPT-4o-1120,12,41,29,10,31,2,85,1.3085082173347473e-07
20250329_MopenHands_DeepSeek-V3,MopenHands + DeepSeek-V3,12,41,29,9,32,3,84,4.176981747150421e-07
20250329_MSWE-agent_DeepSeek-R1,MSWE-agent + DeepSeek-R1,12,41,29,9,32,3,84,4.176981747150421e-07
20250329_MopenHands_OpenAI-o3-mini-high,MopenHands + OpenAI-o3-mini-high,13,41,28,12,29,1,86,5.774199962615967e-08
20250329_MagentLess_Qwen2.5-72B-Instruct,MagentLess + Qwen2.5-72B-Instruct,14,41,27,10,31,4,83,3.4654513001441956e-06
20250426_MopenHands_Doubao-1.5-thinking,MopenHands + Doubao-1.5-thinking,14,41,27,11,30,3,84,1.4011748135089874e-06
20250426_MSWE-agent_Doubao-1.5-thinking,MSWE-agent + Doubao-1.5-thinking,15,41,26,10,31,5,82,1.2913485988974571e-05
20250329_MSWE-agent_DeepSeek-V3,MSWE-agent + DeepSeek-V3,15,41,26,9,32,6,81,2.4342560209333897e-05
20250329_MagentLess_GPT-4o-1120,MagentLess + GPT-4o-1120,15,41,26,9,32,6,81,2.4342560209333897e-05
20250426_MopenHands_Gemini-2.5-Pro,MopenHands + Gemini-2.5-Pro,16,41,25,10,31,6,81,4.12575900554657e-05
20250329_MSWE-agent_GPT-4o-1120,MSWE-agent + GPT-4o-1120,16,41,25,11,30,5,82,2.2361520677804947e-05
20250426_MagentLess_Doubao-1.5-thinking,MagentLess + Doubao-1.5-thinking,17,41,24,12,29,5,82,3.8558151572942734e-05
20250329_MagentLess_Claude-3.7-Sonnet,MagentLess + Claude-3.7-Sonnet,18,41,23,15,26,3,84,1.5236437320709229e-05
20250426_MagentLess_Llama-4-Maverick,MagentLess + Llama-4-Maverick,19,41,22,13,28,6,81,0.00019512558355927467
20250329_MagentLess_Claude-3.5-Sonnet(Oct),MagentLess + Claude-3.5-Sonnet(Oct),19,41,22,15,26,4,83,5.947612226009369e-05
20250329_MopenHands_Claude-3.5-Sonnet(Oct),MopenHands + Claude-3.5-Sonnet(Oct),19,41,22,12,29,7,80,0.00031255115754902363
20250329_MSWE-agent_OpenAI-o3-mini-high,MSWE-agent + OpenAI-o3-mini-high,21,41,20,17,24,4,83,0.00017999112606048584
20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),26,41,15,17,24,9,78,0.013530986849218607
20250329_MagentLess_OpenAI-o1,MagentLess + OpenAI-o1,27,41,14,19,22,8,79,0.016124801710247993
20250329_MSWE-agent_OpenAI-o1,MSWE-agent + OpenAI-o1,28,41,13,22,19,6,81,0.01463329792022705
20250426_MagentLess_Gemini-2.5-Pro,MagentLess + Gemini-2.5-Pro,28,41,13,20,21,8,79,0.0241195447742939
20250329_MopenHands_Claude-3.7-Sonnet,MopenHands + Claude-3.7-Sonnet,28,41,13,22,19,6,81,0.01463329792022705
20250329_MagentLess_DeepSeek-R1,MagentLess + DeepSeek-R1,29,41,12,20,21,9,78,0.04277394525706768
20250329_MSWE-agent_Claude-3.7-Sonnet,MSWE-agent + Claude-3.7-Sonnet,30,41,11,23,18,7,80,0.043285250663757324
20260327_MSWE-Agent_CodeArts-MiniMax-M2.5,MSWE-agent + CodeArts-MiniMax-M2.5,35,41,6,25,16,10,77,0.32693958282470703
20250426_MSWE-agent_Gemini-2.5-Pro,MSWE-agent + Gemini-2.5-Pro,37,41,4,25,16,12,75,0.5715881884098053
20251027_iSWE-OpenModels,iSWE-OpenModels,40,41,1,23,18,17,70,1.0
20251201_iSWE_Agent,iSWE-Agent,43,41,-2,30,11,13,74,0.8388197422027588
20260131_InfCode_GPT-5.2,InfCode + GPT5.2,50,41,-9,26,15,24,63,0.19959086691960692
20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5,CodeArts Agent + CodeArts-MiniMax-M2.5,56,41,-15,37,4,19,68,0.002599477767944336
