from,label,to
ISSUE_REPRODUCT,on_complete,TEST_SYNTHSIZE
ISSUE_REPRODUCT,on_giveup,CODE_LOCALIZE
TEST_SYNTHSIZE,on_complete,CODE_LOCALIZE
TEST_SYNTHSIZE,on_giveup,CODE_LOCALIZE
CODE_LOCALIZE,on_complete,TEST_LOCALIZE
CODE_LOCALIZE,on_giveup,ISSUE_REPRODUCT
TEST_LOCALIZE,on_complete,CODE_FIX
TEST_LOCALIZE,on_giveup,CODE_FIX
CODE_FIX,on_complete,VERIFY_PATCH
CODE_FIX,on_giveup,VERIFY_PATCH
VERIFY_PATCH,on_complete,ISSUE_CLOSE
VERIFY_PATCH,on_giveup,CODE_FIX
ISSUE_CLOSE,on_complete,FINAL_REPORT
ISSUE_CLOSE,on_giveup,CODE_FIX
FINAL_REPORT,on_giveup,FINAL_REPORT
